_id,REPORT_NAME,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE
20851,OFFENSE 2.0,601.16,Public Urination And Defecation,2015-03-10T01:57:00,1200 block Woods Run Ave,Brighton Heights,1
20886,OFFENSE 2.0,3309,Driving on Roadways Laned for Traffic.,2015-03-10T02:29:00,7th Ave & Grant St,Golden Triangle/Civic Arena,2
20887,OFFENSE 2.0,3802(b),DUI - High Rate of Alchol - BAC >=.10% <.16%,2015-03-10T02:29:00,7th Ave & Grant St,Golden Triangle/Civic Arena,2
20888,OFFENSE 2.0,3802(a)(1),DUI - General Impairment,2015-03-10T02:29:00,7th Ave & Grant St,Golden Triangle/Civic Arena,2
20889,OFFENSE 2.0,3714,Careless Driving,2015-03-10T02:29:00,7th Ave & Grant St,Golden Triangle/Civic Arena,2
20890,OFFENSE 2.0,3322,Vehicle Turning Left.,2015-03-10T02:29:00,7th Ave & Grant St,Golden Triangle/Civic Arena,2
20867,OFFENSE 2.0,3304,Criminal Mischief.,2015-03-10T02:30:00,100 block 6th St,Golden Triangle/Civic Arena,2
20891,ARREST,5505,Public Drunkenness,2015-03-10T02:30:00,100 block 6th St,Golden Triangle/Civic Arena,2
20892,ARREST,5503,Disorderly Conduct.,2015-03-10T02:30:00,100 block 6th St,Golden Triangle/Civic Arena,2
20893,ARREST,3304,Criminal Mischief.,2015-03-10T02:30:00,100 block 6th St,Golden Triangle/Civic Arena,2
20894,OFFENSE 2.0,5503,Disorderly Conduct.,2015-03-10T02:30:00,100 block 6th St,Golden Triangle/Civic Arena,2
20895,OFFENSE 2.0,5505,Public Drunkenness,2015-03-10T02:30:00,100 block 6th St,Golden Triangle/Civic Arena,2
20896,ARREST,3802(b),DUI - High Rate of Alchol - BAC >=.10% <.16%,2015-03-10T02:39:00,7th Ave & Grant St,Golden Triangle/Civic Arena,2
20897,ARREST,3802(a)(1),DUI - General Impairment,2015-03-10T02:39:00,7th Ave & Grant St,Golden Triangle/Civic Arena,2
20898,ARREST,3714,Careless Driving,2015-03-10T02:39:00,7th Ave & Grant St,Golden Triangle/Civic Arena,2
20899,ARREST,3309,Driving on Roadways Laned for Traffic.,2015-03-10T02:39:00,7th Ave & Grant St,Golden Triangle/Civic Arena,2
20900,ARREST,3322,Vehicle Turning Left.,2015-03-10T02:39:00,7th Ave & Grant St,Golden Triangle/Civic Arena,2
21001,ARREST,3714,Careless Driving,2015-03-10T03:00:00,N Homewood Ave & Jonathan St,Homewood South,5
21002,ARREST,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,2015-03-10T03:00:00,N Homewood Ave & Jonathan St,Homewood South,5
21003,OFFENSE 2.0,3802(a)(1),DUI - General Impairment,2015-03-10T03:00:00,N Homewood Ave & Jonathan St,Homewood South,5
20996,OFFENSE 2.0,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-03-10T03:00:00,N Homewood Ave & Jonathan St,Homewood South,5
20997,OFFENSE 2.0,3714,Careless Driving,2015-03-10T03:00:00,N Homewood Ave & Jonathan St,Homewood South,5
20998,ARREST,3802(a)(1),DUI - General Impairment,2015-03-10T03:00:00,N Homewood Ave & Jonathan St,Homewood South,5
20999,OFFENSE 2.0,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,2015-03-10T03:00:00,N Homewood Ave & Jonathan St,Homewood South,5
21000,ARREST,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-03-10T03:00:00,N Homewood Ave & Jonathan St,Homewood South,5
21004,OFFENSE 2.0,3503,Criminal Trespass,2015-03-10T03:21:00,600 block N Negley Ave,East Liberty,5
21005,OFFENSE 2.0,907,Possessing Instruments of Crime.,2015-03-10T03:21:00,600 block N Negley Ave,East Liberty,5
21006,OFFENSE 2.0,5506,Loitering and Prowling at Night,2015-03-10T03:21:00,600 block N Negley Ave,East Liberty,5
21007,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-03-10T03:21:00,600 block N Negley Ave,East Liberty,5
21008,ARREST,907,Possessing Instruments of Crime.,2015-03-10T03:25:00,600 block N Negley Ave,East Liberty,5
21009,ARREST,13(a)(16),Possession of Controlled Substance,2015-03-10T03:25:00,600 block N Negley Ave,East Liberty,5
21010,ARREST,3503,Criminal Trespass,2015-03-10T03:25:00,600 block N Negley Ave,East Liberty,5
21011,ARREST,5506,Loitering and Prowling at Night,2015-03-10T03:25:00,600 block N Negley Ave,East Liberty,5
20917,OFFENSE 2.0,9999,9999 - (Misc. Incident): Damaged home monitoring system,2015-03-10T03:25:00,900 block Mc Lain St,Allentown,3
20852,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-03-10T03:50:00,Rhine St & Buente St,Spring Hill-City View,1
20853,ARREST,2711,Domestic Violence,2015-03-10T04:30:00,1100 block BUENTE St,Spring Hill-City View,1
20854,ARREST,2701(a)(1),Simple Assault - Intent.  Know.  Reckless.Cause Bod. Injury,2015-03-10T04:30:00,1100 block BUENTE St,Spring Hill-City View,1
20855,ARREST,2701,Simple Assault.,2015-03-10T04:30:00,100 block Rhine Pl,Spring Hill-City View,1
20856,ARREST,3921,Theft by Unlawful Taking or Disposition.,2015-03-10T04:30:00,100 block Rhine Pl,Spring Hill-City View,1
20857,ARREST,3701,Robbery.,2015-03-10T04:30:00,100 block Rhine Pl,Spring Hill-City View,1
20858,OFFENSE 2.0,9488,False  Burglar Alarm,2015-03-10T05:10:00,1900 block Clayton Ave,Perry South,1
20918,OFFENSE 2.0,3743,Accidents Involving Damage to Attended Veh. or Property,2015-03-10T07:24:00,Saw Mill Run Blvd & Library Rd,Overbrook,3
20919,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-03-10T07:45:00,2300 block Saw Mill Run Blvd,Overbrook,3
20923,ARREST,2702,Aggravated Assault.,2015-03-10T07:54:00,300 block Reifert St,Knoxville,3
20920,ARREST,2702,Aggravated Assault.,2015-03-10T07:54:00,300 block Reifert St,Knoxville,3
20921,ARREST,5104,Resisting Arrest or Other Law Enforcement.,2015-03-10T07:54:00,300 block Reifert St,Knoxville,3
20922,ARREST,5101,Obstructing Admin. of Law ,2015-03-10T07:54:00,300 block Reifert St,Knoxville,3
20924,ARREST,5104,Resisting Arrest or Other Law Enforcement.,2015-03-10T07:54:00,300 block Reifert St,Knoxville,3
20925,ARREST,5101,Obstructing Admin. of Law ,2015-03-10T07:54:00,300 block Reifert St,Knoxville,3
20926,OFFENSE 2.0,5101,Obstructing Admin. of Law ,2015-03-10T08:00:00,300 block Reifert St,Knoxville,3
20927,OFFENSE 2.0,5104,Resisting Arrest or Other Law Enforcement.,2015-03-10T08:00:00,300 block Reifert St,Knoxville,3
20928,OFFENSE 2.0,1501,Drivers Required to be Licensed.,2015-03-10T08:00:00,300 block Reifert St,Knoxville,3
20929,OFFENSE 2.0,2702,Aggravated Assault.,2015-03-10T08:00:00,300 block Reifert St,Knoxville,3
20930,OFFENSE 2.0,3714,Careless Driving,2015-03-10T08:00:00,300 block Reifert St,Knoxville,3
20931,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-03-10T08:00:00,300 block Reifert St,Knoxville,3
20932,OFFENSE 2.0,3921(a),Theft by Unlawful Taking or Disposition - Movable item,2015-03-10T08:00:00,300 block Reifert St,Knoxville,3
20933,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-03-10T08:00:00,2300 block Saw Mill Run Blvd,Overbrook,3
20934,ARREST,3921(a),Theft by Unlawful Taking or Disposition - Movable item,2015-03-10T08:00:00,300 block Reifert St,Knoxville,3
20935,ARREST,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-03-10T08:00:00,300 block Reifert St,Knoxville,3
20936,ARREST,3714,Careless Driving,2015-03-10T08:00:00,300 block Reifert St,Knoxville,3
20937,ARREST,1501,Drivers Required to be Licensed.,2015-03-10T08:00:00,300 block Reifert St,Knoxville,3
20939,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-03-10T08:15:00,2300 block Saw Mill Run Blvd,Overbrook,3
21054,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-03-10T08:20:00,Middletown Rd & Ladoga St,Sheraden,6
21012,OFFENSE 2.0,9489,Found Property,2015-03-10T08:30:00,One Wild Pl,Lincoln-Lemington-Belmar,5
20859,OFFENSE 2.0,29,Missing Juvenile,2015-03-10T08:30:00,2000 block Termon Ave,Brighton Heights,1
